survey_id,period,tips,median,variable
CIV2017PHIA,2016,0,3.0069653336175453,tfr
CIV2017PHIA,2017,0,3.7772890602311944,tfr
CIV2017PHIA,2018,0,4.394069499898211,tfr
CMR2017PHIA,2016,0,4.2618680248628955,tfr
CMR2017PHIA,2017,0,3.9660162144677216,tfr
CMR2017PHIA,2018,0,4.021951254200874,tfr
LSO2017PHIA,2015,0,3.0349309125784076,tfr
LSO2017PHIA,2016,0,2.707925630537216,tfr
LSO2017PHIA,2017,0,2.619285940326364,tfr
MWI2017PHIA,2015,0,4.009055871296022,tfr
MWI2017PHIA,2016,0,4.1112871752686155,tfr
"NAM2017PHIA",2016,0,3.8656009116773755,tfr
"NAM2017PHIA",2017,0,3.7431306918426346,tfr
RWA2019PHIA,2017,0,2.2717379520594894,tfr
RWA2019PHIA,2018,0,4.145997976875836,tfr
SWZ2017PHIA,2015,0,3.1800894662217836,tfr
SWZ2017PHIA,2016,0,2.7019490902934544,tfr
SWZ2017PHIA,2017,0,0.9925732288588818,tfr
TZA2017PHIA,2015,0,4.32215003284023,tfr
TZA2017PHIA,2016,0,4.648249640862112,tfr
TZA2017PHIA,2017,0,4.697590771246605,tfr
UGA2017PHIA,2015,0,4.97058362560087,tfr
UGA2017PHIA,2016,0,4.534823883227784,tfr
UGA2017PHIA,2017,0,4.9925708171751895,tfr
ZMB2016PHIA,2015,0,4.30880613239698,tfr
ZMB2016PHIA,2016,0,4.7055349548788294,tfr
ZWE2016PHIA,2015,0,3.5333432479423097,tfr
ZWE2016PHIA,2016,0,3.430847174417948,tfr
